,description,question,field,timing,timingratio,mintime,assignment,visibility,category,sequence,newtime,newmin
0,Discuss wedding weekend events with client,Event Date,text,7 months,0.7,5,Planner,Yes,General,1,-210.0,-150.0
1,Register for gifts,Event Date,text,7 months,0.7,5,Client,Yes,General,2,-210.0,-150.0
2,Obtain your marriage license,Event Date,text,3 months,0.3,1,Client,Yes,General,3,-90.0,-30.0
3,"Purchase gifts for wedding party, parents and each other",Event Date,text,2 months,0.2,1,Client,Yes,General,4,-60.0,-30.0
4,Compile Guest list,Guest Count,text,9 months,0.9,6,Client,Yes,General,1,-270.0,-180.0
5,Collect Guest email and physical addresses,Guest Count,text,9 months,0.9,7,Client,Yes,General,2,-270.0,-210.0
6,RSVP deadline,Guest Count,text,1 Month,0.0033333333333333335,1,Planner,Yes,General,3,-1.0,-30.0
7,Send Final guest count to Planner,Guest Count,text,1 month,0.1,2 weeks,Client,Yes,General,4,-30.0,-14.0
8,Update floor plan based on final guest count and send to client for table/seat assignments,Guest Count,text,4 weeks,0.09333333333333334,4 weeks,Planner,No,General,5,-28.0,-28.0
9,Final table/seat assignments due,Guest Count,text,1 month,0.1,3 weeks,Client,Yes,General,6,-30.0,-21.0
10,Update Contracts with final guest count,Guest Count,text,3 weeks ,0.07,3 wks,Planner,No,General,7,-21.0,-21.0
11,Update final payments (to reflect final counts),Guest Count,text,3 weeks,0.07,3 wks,Planner,No,General,8,-21.0,-21.0
12,Guest count contractually locked in,Guest Count,text,2 weeks,0.04666666666666667,2 weeks,Planner,Yes,General,9,-14.0,-14.0
13,Determine budget,Budget,text,10 months,1.0,7,Client,Yes,General,1,-300.0,-210.0
14,Draft a detailed budget to determine spend,Budget,text,10 month,1.0,6,Planner,No,General,2,-300.0,-180.0
15,Review estimated event budget,Budget,text,9 months,0.9,7,Planner,Yes,General,3,-270.0,-210.0
16,Set up wedding website,Website:,text,9 months,0.9,6,Client,Yes,General,1,-270.0,-180.0
17,"Add date, wedding event location/time, and hotel block information to Wedding Website",Website:,text,9 months,0.9,5,Client,Yes,General,2,-270.0,-150.0
18,Send wedding website info how to's,Website:,text,9 months,0.9,6,Planner,No,General,3,-270.0,-180.0
