Category,Questions,Field,Tasks ,Assignment,Visibility,Time,Min Time,Min Time FORMULA,Budget,"*Once payment schedule is added, task is created under ""Payment"" category"
General,Wedding (Event) Date,text,Discuss wedding weekend events with client,Planner,Yes,7 months,7 months,5,,
"""Create tasks when Planning Questionnaire is Generated""",,,Register for gifts ,Client,Yes,7 months,,5,,
,,,- Obtain your marriage license ,Client,Yes,3 months,3 months,1,,
,,,"Purchase gifts for wedding party, parents and each other",Client,Yes,2 months,,1,,
,,,,,#N/A,,,,,
,Location,text,n/a,,#N/A,,,,,
,Ceremony Start Time,text,n/a,,#N/A,,,,,
,Event End Time,text,n/a,,#N/A,,,,,
,Guest Count,text,Compile Guest list,Client,Yes,9 months,3 weeks out,6,,
,,,- Collect Guest email and physical addresses,Client,Yes,8 months,6 months,6,,
,,,- RSVP deadline,Planner,Yes,1 Month,one month,1,,
,,,- Send Final guest count to Planner,Client,Yes,1 month,2 weeks,2 weeks,,
,,,- Update floor plan based on final guest count and send to client for table/seat assignments,Planner,No,4 weeks,4 weeks,4 weeks,,
,,,Final table/seat assignments due,Client,Yes,1 month,3 weeks,3 weeks,,
,,,- Update Contracts with final guest count,Planner,No,3 weeks ,3 weeks ,3 wks,,
,,,- Update final payments (to reflect final counts),Planner,No,3 weeks,4 weeks,3 wks,,
,,,Guest count contractually locked in ,Planner,Yes,2 weeks,2 weeks,2 weeks,,
,,,,#N/A,#N/A,,,,,
,Budget,text,- Determine budget ,Client,Yes,10 months,8,7,YES (total),
,,,- Draft a detailed budget to determine spend,Planner,No,10 month,7,6,,
,,,- Review estimated event budget,Planner,Yes,9 months,7,7,,
,,,,#N/A,#N/A,,,,,
,WEBSITE:,text,- Set up wedding website,Client,Yes,9 months,6 months,6,,
,,,"Add date, wedding event location/time, and hotel block information to Wedding Website",Client,Yes,9 months,6 months,5,,
,,,- Send wedding website info (how to's),Planner,No,9 months,7 months,6,,
,,,Add transportation and additional event info to wedding website,Client,Yes,4 months,3-4 months,4,,
,IG:,text,n/a,,,,,,,
,PINTEREST:,text,- Share Pinterest Board and inspiration with planner,Client,Yes,10 months,9 months,6,,
,,,,,,,,,,
